sentence,gold_pos,gold_dependencies
The product looks awful.,"[('The', 'RB'), ('product', 'NN'), ('looks', 'DT'), ('awful.', 'JJ')]","[('The', 'product', 'obj'), ('awful.', 'product', 'obj'), ('The', 'The', 'nsubj'), ('product', 'product', 'obj')]"
This service seems awful.,"[('This', 'JJ'), ('service', 'RB'), ('seems', 'RB'), ('awful.', 'NN')]","[('service', 'seems', 'nsubj'), ('This', 'service', 'obj'), ('service', 'This', 'obj'), ('seems', 'awful.', 'root')]"
This service feels mediocre.,"[('This', 'RB'), ('service', 'JJ'), ('feels', 'PRP'), ('mediocre.', 'DT')]","[('feels', 'service', 'root'), ('service', 'service', 'root'), ('service', 'This', 'nsubj'), ('service', 'feels', 'root')]"
The app seems boring.,"[('The', 'RB'), ('app', 'RB'), ('seems', 'JJ'), ('boring.', 'RB')]","[('seems', 'The', 'root'), ('seems', 'seems', 'obj'), ('The', 'The', 'nsubj'), ('The', 'The', 'obj')]"
The product was boring.,"[('The', 'JJ'), ('product', 'NN'), ('was', 'PRP'), ('boring.', 'PRP')]","[('boring.', 'The', 'root'), ('boring.', 'product', 'obj'), ('product', 'was', 'obj'), ('product', 'was', 'obj')]"
This service looks great.,"[('This', 'RB'), ('service', 'JJ'), ('looks', 'RB'), ('great.', 'VB')]","[('This', 'great.', 'obj'), ('great.', 'service', 'nsubj'), ('looks', 'This', 'nsubj'), ('great.', 'looks', 'obj')]"
This service seems amazing.,"[('This', 'PRP'), ('service', 'VB'), ('seems', 'PRP'), ('amazing.', 'JJ')]","[('seems', 'amazing.', 'nsubj'), ('This', 'service', 'root'), ('seems', 'service', 'obj'), ('service', 'This', 'obj')]"
The app seems terrible.,"[('The', 'PRP'), ('app', 'RB'), ('seems', 'DT'), ('terrible.', 'VB')]","[('terrible.', 'app', 'root'), ('seems', 'seems', 'nsubj'), ('terrible.', 'app', 'nsubj'), ('The', 'terrible.', 'root')]"
The product was amazing.,"[('The', 'RB'), ('product', 'JJ'), ('was', 'VB'), ('amazing.', 'NN')]","[('amazing.', 'was', 'nsubj'), ('amazing.', 'The', 'nsubj'), ('product', 'was', 'obj'), ('was', 'The', 'root')]"
The app is amazing.,"[('The', 'RB'), ('app', 'JJ'), ('is', 'DT'), ('amazing.', 'RB')]","[('app', 'amazing.', 'obj'), ('amazing.', 'app', 'obj'), ('The', 'The', 'obj'), ('amazing.', 'amazing.', 'root')]"
The movie seems awful.,"[('The', 'RB'), ('movie', 'RB'), ('seems', 'JJ'), ('awful.', 'RB')]","[('The', 'movie', 'root'), ('awful.', 'awful.', 'nsubj'), ('The', 'movie', 'obj'), ('movie', 'seems', 'obj')]"
The app feels great.,"[('The', 'PRP'), ('app', 'RB'), ('feels', 'VB'), ('great.', 'DT')]","[('great.', 'great.', 'root'), ('feels', 'great.', 'root'), ('feels', 'feels', 'obj'), ('great.', 'feels', 'root')]"
This service feels fantastic.,"[('This', 'NN'), ('service', 'RB'), ('feels', 'VB'), ('fantastic.', 'JJ')]","[('This', 'feels', 'root'), ('service', 'This', 'obj'), ('feels', 'This', 'nsubj'), ('service', 'feels', 'nsubj')]"
This service looks mediocre.,"[('This', 'RB'), ('service', 'RB'), ('looks', 'RB'), ('mediocre.', 'DT')]","[('looks', 'mediocre.', 'nsubj'), ('This', 'mediocre.', 'obj'), ('mediocre.', 'This', 'nsubj'), ('This', 'This', 'obj')]"
The experience seems awful.,"[('The', 'PRP'), ('experience', 'DT'), ('seems', 'DT'), ('awful.', 'NN')]","[('The', 'experience', 'obj'), ('awful.', 'seems', 'root'), ('awful.', 'experience', 'root'), ('experience', 'awful.', 'obj')]"
The product feels great.,"[('The', 'PRP'), ('product', 'DT'), ('feels', 'DT'), ('great.', 'DT')]","[('great.', 'The', 'nsubj'), ('The', 'product', 'nsubj'), ('product', 'great.', 'root'), ('The', 'product', 'obj')]"
This design looks awful.,"[('This', 'JJ'), ('design', 'PRP'), ('looks', 'NN'), ('awful.', 'PRP')]","[('looks', 'design', 'obj'), ('looks', 'This', 'root'), ('This', 'This', 'obj'), ('design', 'This', 'obj')]"
The product feels amazing.,"[('The', 'PRP'), ('product', 'PRP'), ('feels', 'VB'), ('amazing.', 'JJ')]","[('The', 'The', 'nsubj'), ('The', 'product', 'root'), ('feels', 'The', 'obj'), ('amazing.', 'feels', 'obj')]"
This design was terrible.,"[('This', 'VB'), ('design', 'VB'), ('was', 'NN'), ('terrible.', 'JJ')]","[('This', 'design', 'obj'), ('design', 'design', 'nsubj'), ('This', 'This', 'root'), ('This', 'terrible.', 'root')]"
This service seems awful.,"[('This', 'PRP'), ('service', 'VB'), ('seems', 'NN'), ('awful.', 'VB')]","[('service', 'This', 'root'), ('This', 'This', 'root'), ('seems', 'seems', 'root'), ('seems', 'awful.', 'nsubj')]"
The movie was mediocre.,"[('The', 'JJ'), ('movie', 'DT'), ('was', 'JJ'), ('mediocre.', 'DT')]","[('mediocre.', 'mediocre.', 'obj'), ('was', 'mediocre.', 'obj'), ('The', 'The', 'root'), ('The', 'was', 'obj')]"
The product seems amazing.,"[('The', 'RB'), ('product', 'VB'), ('seems', 'RB'), ('amazing.', 'NN')]","[('The', 'seems', 'obj'), ('product', 'seems', 'root'), ('product', 'The', 'root'), ('seems', 'product', 'obj')]"
The experience is great.,"[('The', 'RB'), ('experience', 'RB'), ('is', 'PRP'), ('great.', 'RB')]","[('experience', 'experience', 'obj'), ('is', 'is', 'root'), ('The', 'great.', 'root'), ('great.', 'experience', 'root')]"
This design seems fantastic.,"[('This', 'DT'), ('design', 'PRP'), ('seems', 'NN'), ('fantastic.', 'VB')]","[('seems', 'seems', 'nsubj'), ('This', 'fantastic.', 'obj'), ('design', 'design', 'nsubj'), ('fantastic.', 'seems', 'nsubj')]"
The movie was innovative.,"[('The', 'VB'), ('movie', 'DT'), ('was', 'DT'), ('innovative.', 'NN')]","[('innovative.', 'innovative.', 'obj'), ('The', 'The', 'nsubj'), ('movie', 'The', 'nsubj'), ('movie', 'innovative.', 'root')]"
This service looks terrible.,"[('This', 'VB'), ('service', 'DT'), ('looks', 'VB'), ('terrible.', 'VB')]","[('service', 'looks', 'obj'), ('terrible.', 'This', 'nsubj'), ('This', 'This', 'root'), ('service', 'This', 'nsubj')]"
This design is amazing.,"[('This', 'RB'), ('design', 'NN'), ('is', 'VB'), ('amazing.', 'VB')]","[('This', 'is', 'root'), ('amazing.', 'is', 'nsubj'), ('is', 'amazing.', 'nsubj'), ('amazing.', 'This', 'obj')]"
The movie looks boring.,"[('The', 'VB'), ('movie', 'DT'), ('looks', 'DT'), ('boring.', 'NN')]","[('The', 'looks', 'root'), ('boring.', 'movie', 'root'), ('looks', 'The', 'nsubj'), ('The', 'boring.', 'root')]"
The movie seems boring.,"[('The', 'PRP'), ('movie', 'PRP'), ('seems', 'NN'), ('boring.', 'PRP')]","[('seems', 'seems', 'nsubj'), ('boring.', 'The', 'obj'), ('seems', 'seems', 'root'), ('The', 'seems', 'root')]"
The product seems innovative.,"[('The', 'JJ'), ('product', 'PRP'), ('seems', 'VB'), ('innovative.', 'VB')]","[('product', 'innovative.', 'nsubj'), ('innovative.', 'product', 'root'), ('seems', 'innovative.', 'nsubj'), ('product', 'product', 'obj')]"
The app looks mediocre.,"[('The', 'DT'), ('app', 'DT'), ('looks', 'PRP'), ('mediocre.', 'DT')]","[('looks', 'looks', 'obj'), ('The', 'mediocre.', 'nsubj'), ('mediocre.', 'The', 'obj'), ('app', 'mediocre.', 'root')]"
The experience feels fantastic.,"[('The', 'RB'), ('experience', 'PRP'), ('feels', 'JJ'), ('fantastic.', 'RB')]","[('fantastic.', 'fantastic.', 'nsubj'), ('feels', 'The', 'root'), ('The', 'fantastic.', 'obj'), ('The', 'fantastic.', 'root')]"
This service is awful.,"[('This', 'VB'), ('service', 'VB'), ('is', 'PRP'), ('awful.', 'DT')]","[('This', 'service', 'root'), ('service', 'service', 'root'), ('This', 'This', 'root'), ('awful.', 'is', 'nsubj')]"
This service feels terrible.,"[('This', 'RB'), ('service', 'VB'), ('feels', 'NN'), ('terrible.', 'NN')]","[('terrible.', 'service', 'nsubj'), ('terrible.', 'terrible.', 'root'), ('service', 'This', 'obj'), ('This', 'terrible.', 'obj')]"
The product seems innovative.,"[('The', 'NN'), ('product', 'RB'), ('seems', 'JJ'), ('innovative.', 'PRP')]","[('The', 'product', 'obj'), ('The', 'The', 'obj'), ('innovative.', 'The', 'obj'), ('product', 'seems', 'root')]"
The product was amazing.,"[('The', 'PRP'), ('product', 'NN'), ('was', 'VB'), ('amazing.', 'VB')]","[('product', 'product', 'root'), ('amazing.', 'amazing.', 'root'), ('product', 'The', 'root'), ('The', 'was', 'root')]"
The app looks boring.,"[('The', 'DT'), ('app', 'JJ'), ('looks', 'PRP'), ('boring.', 'NN')]","[('The', 'The', 'obj'), ('The', 'app', 'nsubj'), ('app', 'The', 'nsubj'), ('boring.', 'boring.', 'root')]"
The movie was innovative.,"[('The', 'VB'), ('movie', 'NN'), ('was', 'VB'), ('innovative.', 'RB')]","[('innovative.', 'movie', 'obj'), ('movie', 'was', 'obj'), ('movie', 'innovative.', 'obj'), ('was', 'movie', 'nsubj')]"
The experience is boring.,"[('The', 'PRP'), ('experience', 'NN'), ('is', 'NN'), ('boring.', 'DT')]","[('is', 'experience', 'root'), ('experience', 'experience', 'obj'), ('is', 'experience', 'obj'), ('boring.', 'The', 'root')]"
The product is boring.,"[('The', 'VB'), ('product', 'JJ'), ('is', 'DT'), ('boring.', 'PRP')]","[('boring.', 'The', 'root'), ('is', 'The', 'obj'), ('boring.', 'The', 'nsubj'), ('The', 'The', 'root')]"
The app feels fantastic.,"[('The', 'VB'), ('app', 'VB'), ('feels', 'VB'), ('fantastic.', 'NN')]","[('app', 'The', 'root'), ('feels', 'app', 'root'), ('fantastic.', 'app', 'nsubj'), ('The', 'feels', 'obj')]"
This design looks amazing.,"[('This', 'RB'), ('design', 'NN'), ('looks', 'NN'), ('amazing.', 'RB')]","[('design', 'looks', 'nsubj'), ('amazing.', 'design', 'root'), ('design', 'This', 'obj'), ('looks', 'This', 'root')]"
The app feels awful.,"[('The', 'NN'), ('app', 'PRP'), ('feels', 'NN'), ('awful.', 'NN')]","[('awful.', 'app', 'root'), ('awful.', 'feels', 'obj'), ('The', 'feels', 'obj'), ('awful.', 'The', 'nsubj')]"
The movie seems terrible.,"[('The', 'NN'), ('movie', 'DT'), ('seems', 'NN'), ('terrible.', 'VB')]","[('seems', 'movie', 'root'), ('The', 'movie', 'root'), ('The', 'The', 'nsubj'), ('The', 'terrible.', 'obj')]"
This service seems awful.,"[('This', 'JJ'), ('service', 'RB'), ('seems', 'PRP'), ('awful.', 'VB')]","[('service', 'This', 'root'), ('seems', 'service', 'obj'), ('awful.', 'awful.', 'nsubj'), ('service', 'service', 'root')]"
The experience is amazing.,"[('The', 'PRP'), ('experience', 'NN'), ('is', 'NN'), ('amazing.', 'DT')]","[('amazing.', 'The', 'obj'), ('experience', 'The', 'nsubj'), ('experience', 'experience', 'obj'), ('is', 'is', 'nsubj')]"
This service is mediocre.,"[('This', 'RB'), ('service', 'JJ'), ('is', 'RB'), ('mediocre.', 'NN')]","[('is', 'This', 'root'), ('mediocre.', 'is', 'root'), ('This', 'This', 'root'), ('service', 'This', 'nsubj')]"
This design seems terrible.,"[('This', 'JJ'), ('design', 'JJ'), ('seems', 'RB'), ('terrible.', 'JJ')]","[('This', 'terrible.', 'obj'), ('This', 'design', 'obj'), ('seems', 'design', 'root'), ('seems', 'terrible.', 'obj')]"
The product seems mediocre.,"[('The', 'PRP'), ('product', 'JJ'), ('seems', 'JJ'), ('mediocre.', 'JJ')]","[('seems', 'seems', 'root'), ('product', 'product', 'nsubj'), ('seems', 'mediocre.', 'root'), ('mediocre.', 'mediocre.', 'obj')]"
The experience seems mediocre.,"[('The', 'DT'), ('experience', 'PRP'), ('seems', 'NN'), ('mediocre.', 'PRP')]","[('The', 'The', 'nsubj'), ('experience', 'experience', 'root'), ('mediocre.', 'seems', 'nsubj'), ('mediocre.', 'experience', 'obj')]"
The product feels great.,"[('The', 'JJ'), ('product', 'VB'), ('feels', 'RB'), ('great.', 'NN')]","[('product', 'The', 'nsubj'), ('The', 'The', 'obj'), ('The', 'feels', 'nsubj'), ('The', 'great.', 'obj')]"
The movie looks fantastic.,"[('The', 'JJ'), ('movie', 'JJ'), ('looks', 'PRP'), ('fantastic.', 'NN')]","[('movie', 'movie', 'nsubj'), ('The', 'movie', 'root'), ('looks', 'The', 'root'), ('The', 'looks', 'root')]"
The experience looks amazing.,"[('The', 'JJ'), ('experience', 'JJ'), ('looks', 'PRP'), ('amazing.', 'JJ')]","[('looks', 'The', 'nsubj'), ('looks', 'experience', 'nsubj'), ('experience', 'looks', 'obj'), ('The', 'The', 'nsubj')]"
The app feels mediocre.,"[('The', 'DT'), ('app', 'DT'), ('feels', 'DT'), ('mediocre.', 'DT')]","[('mediocre.', 'app', 'obj'), ('app', 'The', 'obj'), ('feels', 'feels', 'nsubj'), ('feels', 'app', 'obj')]"
The experience is boring.,"[('The', 'RB'), ('experience', 'PRP'), ('is', 'VB'), ('boring.', 'JJ')]","[('experience', 'The', 'obj'), ('experience', 'is', 'nsubj'), ('is', 'experience', 'root'), ('The', 'The', 'nsubj')]"
The app seems great.,"[('The', 'VB'), ('app', 'DT'), ('seems', 'PRP'), ('great.', 'NN')]","[('app', 'app', 'obj'), ('seems', 'The', 'root'), ('great.', 'app', 'root'), ('The', 'seems', 'root')]"
The product was boring.,"[('The', 'RB'), ('product', 'PRP'), ('was', 'DT'), ('boring.', 'VB')]","[('boring.', 'was', 'nsubj'), ('The', 'was', 'root'), ('boring.', 'The', 'obj'), ('product', 'product', 'root')]"
The movie was awful.,"[('The', 'NN'), ('movie', 'VB'), ('was', 'JJ'), ('awful.', 'RB')]","[('was', 'awful.', 'root'), ('The', 'The', 'nsubj'), ('was', 'movie', 'nsubj'), ('was', 'movie', 'obj')]"
The movie feels amazing.,"[('The', 'DT'), ('movie', 'RB'), ('feels', 'VB'), ('amazing.', 'VB')]","[('amazing.', 'amazing.', 'root'), ('movie', 'amazing.', 'root'), ('movie', 'amazing.', 'nsubj'), ('amazing.', 'The', 'obj')]"
The product feels terrible.,"[('The', 'DT'), ('product', 'RB'), ('feels', 'VB'), ('terrible.', 'RB')]","[('The', 'The', 'root'), ('product', 'The', 'nsubj'), ('feels', 'feels', 'nsubj'), ('The', 'feels', 'nsubj')]"
The product was mediocre.,"[('The', 'VB'), ('product', 'DT'), ('was', 'DT'), ('mediocre.', 'DT')]","[('mediocre.', 'The', 'obj'), ('mediocre.', 'The', 'nsubj'), ('product', 'mediocre.', 'obj'), ('mediocre.', 'was', 'nsubj')]"
The product looks boring.,"[('The', 'JJ'), ('product', 'VB'), ('looks', 'PRP'), ('boring.', 'DT')]","[('product', 'boring.', 'obj'), ('product', 'The', 'root'), ('product', 'looks', 'nsubj'), ('The', 'product', 'root')]"
